0:19:55,0:23:11,7,21,21,1742182090549827603,0,1
0:20:04,0:20:56,16,11,11,-8089419807719630337,0,1
0:17:34,0:18:39,8,14,14,2124247598766153665,0,0
0:24:50,0:26:18,8,17,17,5387542131227864714,0,1
0:18:39,0:21:39,8,11,11,-6889659695184595849,0,2
0:22:50,0:23:37,10,20,20,-8022880900552798936,0,2
0:21:51,0:22:44,8,19,19,1832614142764069383,0,1
0:17:15,0:18:01,8,14,14,8058032594954761964,1,0
0:29:00,0:31:24,8,18,18,-2278213393098677780,0,0
0:26:26,0:28:15,8,14,14,3502218794506539484,0,1
0:13:59,0:14:51,8,12,12,488662865236870375,0,0
0:25:10,0:26:10,15,19,19,4973907977322599905,0,3
0:21:29,0:22:15,14,12,12,2030330412339536723,0,0
0:22:19,0:24:42,8,17,17,-8694033496432846706,0,4
0:25:58,0:27:30,8,17,17,2680036079062585383,0,0
0:12:22,0:15:35,7,16,16,493277828470723295,0,4
0:22:29,0:26:07,8,17,17,-8393784054033461009,0,1
0:22:54,0:24:12,11,20,20,8374219728888548721,0,2
0:22:46,0:24:05,8,15,15,-4003979795244819152,0,0
0:17:13,0:18:09,8,16,16,3448924185184875583,0,2
0:26:32,0:29:09,8,16,16,-7973171546660312365,0,0
0:18:49,0:21:20,8,14,14,917445507231232676,0,0
0:24:45,0:25:32,8,14,14,7926977645656627323,0,3
0:21:16,0:22:31,8,13,13,-2726522372209814419,0,1
0:20:20,0:22:32,9,21,21,2020407951621706965,0,1
0:24:14,0:25:35,8,14,14,-5370945435998405466,0,0
0:17:27,0:18:13,7,12,12,-3223643000376034400,0,1
0:22:40,0:23:32,8,17,17,-63556095628567717,1,0
0:17:39,0:19:21,7,12,12,3848693430513127847,0,2
0:18:34,0:20:09,8,25,25,2816091210461010857,0,1
0:17:50,0:18:42,7,10,10,-2315410454862907326,0,1
0:20:14,0:21:05,8,20,20,-397038139826014008,0,1
0:27:13,0:28:04,8,13,13,4104071770896602690,0,1
0:24:06,0:25:02,8,14,14,-6408854275316505669,0,0
0:34:06,0:35:31,8,16,16,1862028839159795023,0,2
0:31:50,0:32:43,7,17,17,-5716783932153355190,1,2
0:52:03,0:52:51,10,24,24,-1102164296234788425,1,1
0:30:20,0:31:11,7,17,17,4488568070150383983,1,3
0:43:38,0:45:42,11,23,23,5788413383179736083,0,0
0:17:46,0:18:36,8,17,17,860941944802162150,0,1
0:16:53,0:18:11,8,9,9,-4616359391153076969,0,0
0:13:27,0:15:42,7,12,12,2608058783691113338,0,0
0:14:02,0:14:51,8,9,9,-3861673392189744271,0,0
0:20:12,0:21:22,8,16,16,3042318074022915772,0,0
0:17:36,0:18:36,8,16,16,7004786184545734133,0,2
0:20:59,0:21:46,8,12,12,-8224108869071632427,0,1
0:42:23,0:44:14,8,16,16,5031487970296561004,2,0
0:14:27,0:18:41,8,13,13,-6939064614603375206,0,2
0:27:05,0:27:59,7,23,23,-2799647988938334376,0,1
0:15:47,0:16:37,10,13,13,6174602485386908834,0,1
0:22:50,0:23:42,8,20,20,1147710574644501813,0,1
0:23:02,0:23:51,9,17,17,-7978545406233027521,0,1
0:25:04,0:25:59,8,17,17,809686529913221990,0,2
0:21:55,0:24:13,8,20,20,-1687577989297838551,0,0
0:22:25,0:24:41,7,26,26,-1179572358877717293,0,0
0:19:32,0:21:44,8,16,16,-335422728285722582,0,0
0:23:03,0:23:53,8,11,11,-3309014937419061188,0,1
0:23:51,0:27:03,8,14,14,-6118248058038769433,0,2
0:18:29,0:23:08,8,13,13,2542908837017204465,0,0
0:15:55,0:17:11,8,19,19,-3754216945342295580,0,2
0:21:40,0:22:44,8,13,13,-5444177962298943879,0,0
0:24:44,0:26:13,8,16,16,7317882190882470694,0,0
0:27:05,0:28:19,8,29,29,-4112493864397416773,0,0
0:27:12,0:28:26,8,12,12,-2078853481735721113,0,0
0:18:11,0:19:15,8,12,12,5190858665727462875,0,0
0:15:15,0:16:07,8,11,11,-4714333839166628621,1,2
0:18:59,0:23:17,9,20,20,-5908139991715544429,0,1
0:16:15,0:19:30,11,16,16,2678711169277549555,0,0
0:18:31,0:19:24,8,13,13,9215123749174614025,0,2
0:27:07,0:38:00,13,20,20,-6636436970056518980,1,1
0:20:30,0:23:10,8,16,16,344109440826009185,0,1
0:19:09,0:20:09,9,16,16,-9190272630694970959,0,0
0:20:02,0:21:33,8,15,15,6268269147773302869,0,2
0:21:42,0:24:12,8,23,23,-4802949932990396983,0,0
0:29:10,0:30:41,9,19,19,-34312923727290233,1,2
0:25:45,0:26:31,8,17,17,-3184311465646715107,0,0
0:19:20,0:23:26,9,15,15,4313590517323686348,0,4
0:37:26,0:38:40,8,13,13,-3175432925104932853,0,1
0:19:48,0:21:17,7,10,10,-6299681972371710293,0,1
0:20:43,0:21:33,8,16,16,-1046663796729550385,0,0
0:19:28,0:20:23,8,11,11,-5739684866500170713,0,0
0:29:18,0:31:34,13,11,11,-6842286753228094518,0,3
0:17:44,0:18:33,8,14,14,3540242291039902267,0,1
0:27:16,0:28:12,8,18,18,-8440559373469504067,0,3
0:25:06,0:25:57,8,22,22,-130017933520164247,0,2
0:18:10,0:19:04,8,17,17,-1647446652416710391,0,4
0:20:28,0:22:40,9,14,14,7372274063231801033,0,3
0:20:18,0:22:13,8,11,11,-147620519283519448,0,0
0:19:11,0:20:34,9,25,25,7656348394867261238,0,3
0:18:38,0:19:36,9,7,7,-4025465347578474601,0,1
0:21:40,0:22:32,7,23,23,-4047404767909618386,0,0
0:22:17,0:24:25,8,11,11,1382593061164842843,0,2
0:17:23,0:18:15,7,13,13,-3144332780914657659,0,2
0:22:09,0:23:02,8,21,21,5076744702104678582,0,1
0:16:30,0:17:26,7,15,15,-4154849414551313200,0,3
0:14:22,0:16:18,8,9,9,8023860034227108917,0,1
0:22:43,0:24:36,8,15,15,8762477010119603168,0,0
0:21:45,0:25:36,8,16,16,140482009857973564,0,3
0:28:07,0:29:01,7,16,16,-9159767804631035964,0,2
0:23:23,0:25:16,9,16,16,5180114641661804032,0,1
0:17:25,0:18:44,8,17,17,-7871369458428171528,0,1
0:18:56,0:20:11,9,11,11,2253008503696986003,0,3
